order_id,date,Products,region,quantity_sold,unit_price,total_sales
10051,5/12/2024,toys,south,2,$49.42 ,98.84
10052,3/4/2024,toys,north ,9,$60.27 ,542.43
10053,4/12/2024,Electronics,east,1,$62.52 ,62.52
10054,4/26/2024,sports,south,7,$96.44 ,675.08
10055,4/1/2024,clothings,east,3,$152.00 ,456
10056,5/22/2024,Home goods,north ,5,$102.17 ,510.85
10057,6/27/2024,sports,north ,7,$47.82 ,334.74
10058,6/9/2024,sports,south,1,$76.32 ,76.32
10059,1/10/2024,Home goods,north ,10,$148.49 ,1484.9
10060,1/3/2024,books,east,2,$40.85 ,81.7
10061,4/1/2024,books,north ,4,$190.29 ,761.16
10062,4/29/2024,toys,south,5, Thirty ,
10063,5/13/2024,sports,south,10,$97.56 ,975.6
10064,1/24/2024,toys,east,7,$132.91 ,930.37
10065,4/13/2024,Electronics,south,4,$105.84 ,423.36
10066,"Thursday, February 15, 2024",books,east,1,$138.24 ,138.24
10067,"Tuesday, May 28, 2024",Home goods,north ,6,$70.90 ,425.4
10068,"Tuesday, February 6, 2024",clothings,west,8,$133.19 ,1065.52
10069,"Wednesday, February 14, 2024",books,south,1,$115.51 ,115.51
10070,"Sunday, February 18, 2024",books,south,8,$105.96 ,847.68
10071,"Tuesday, June 11, 2024",books,north ,5,$185.91 ,929.55
10072,"Saturday, May 18, 2024",clothings,east,1,$121.33 ,121.33
10073,"Friday, June 28, 2024",Electronics,south,8,  ,
10074,"Wednesday, April 3, 2024",books,east,1,$64.89 ,64.89
10075,"Wednesday, June 12, 2024",clothings,west,4,$108.13 ,432.52
10076,"Thursday, January 18, 2024",clothings,east,10,$139.93 ,1399.3
10077,"Friday, May 10, 2024",books,west,1,$120.36 ,120.36
10078,"Tuesday, January 2, 2024",books,west,8,$133.13 ,1065.04
10079,"Tuesday, June 11, 2024",toys,east,4,$27.49 ,109.96
10080,"Friday, January 5, 2024",Electronics,north ,6,$97.85 ,587.1
10081,"Tuesday, March 12, 2024",toys,north ,7,$61.75 ,432.25
10082,"Friday, January 5, 2024",toys,west,4,$108.88 ,435.52
10083,"Saturday, March 30, 2024",toys,west,4,$189.77 ,759.08
10084,"Saturday, March 16, 2024",Electronics,north ,5,$122.26 ,611.3
10085,"Monday, March 25, 2024",Electronics,east,10,  ,
10086,"Friday, April 19, 2024",books,north ,6,$116.34 ,698.04
10087,"Tuesday, January 23, 2024",Electronics,west,7,  ,
10088,"Monday, April 15, 2024",clothings,west,7,$56.05 ,392.35
10089,"Sunday, March 10, 2024",books,east,5,$149.56 ,747.8
10090,"Saturday, May 18, 2024",clothings,west,6,$148.51 ,891.06
10091,"Saturday, January 27, 2024",sports,east,5,$66.29 ,331.45
10092,"Tuesday, May 14, 2024",Electronics,south,10, Thirty ,
10093,"Tuesday, April 30, 2024",sports,south,5,$13.06 ,65.3
10094,"Tuesday, March 12, 2024",Electronics,west,9,$171.49 ,1543.41
10095,"Monday, May 20, 2024",clothings,east,8,$70.30 ,562.4
10096,"Saturday, June 1, 2024",sports,west,4,$146.91 ,587.64
10097,"Wednesday, June 5, 2024",clothings,south,2,$34.55 ,69.1
10098,"Wednesday, January 3, 2024",toys,west,2,$112.96 ,225.92
10099,"Thursday, May 23, 2024",sports,east,1,$141.94 ,141.94
10100,"Wednesday, June 5, 2024",books,east,9,$59.01 ,531.09
10101,"Saturday, February 3, 2024",Home goods,south,10,$78.25 ,782.5
10102,"Tuesday, April 9, 2024",Home goods,east,,$73.04 ,
10103,"Thursday, June 27, 2024",books,south,10,$26.32 ,263.2
10104,"Saturday, January 27, 2024",sports,west,4, Thirty ,
10105,"Tuesday, January 9, 2024",Home goods,east,3,$190.01 ,570.03
10106,"Tuesday, January 9, 2024",Electronics,west,3,$164.93 ,494.79
10107,"Wednesday, February 7, 2024",clothings,west,10,$61.99 ,619.9
10108,"Monday, May 6, 2024",toys,south,7,$105.59 ,739.13
10109,"Thursday, February 22, 2024",toys,north ,9,$189.80 ,1708.2
10110,"Saturday, January 6, 2024",Home goods,south,,$156.74 ,
10111,"Tuesday, February 20, 2024",Electronics,east,10,$106.73 ,1067.3
10112,"Saturday, January 27, 2024",toys,west,7,$156.84 ,1097.88
10113,"Saturday, March 9, 2024",Electronics,west,4,$183.23 ,732.92
10114,"Friday, June 14, 2024",books,south,2,$131.91 ,263.82
10115,"Sunday, March 10, 2024",books,north ,2,$154.79 ,309.58
10116,"Friday, June 14, 2024",clothings,east,6,$56.73 ,340.38
10117,"Sunday, February 4, 2024",sports,north ,2,$140.63 ,281.26
10118,"Friday, May 3, 2024",Home goods,north ,8,$193.92 ,1551.36
10119,"Saturday, March 30, 2024",sports,east,3,$95.74 ,287.22
10120,"Monday, February 5, 2024",toys,east,7,$109.67 ,767.69
10121,"Tuesday, February 20, 2024",sports,north ,4,$112.17 ,448.68
10122,"Sunday, June 9, 2024",Electronics,west,8,$140.39 ,1123.12
10123,"Tuesday, May 21, 2024",sports,west,6,$91.28 ,547.68
10124,"Friday, April 5, 2024",Home goods,north ,4,$115.26 ,461.04
10125,"Friday, June 7, 2024",clothings,east,7,$10.34 ,72.38
10126,"Saturday, June 8, 2024",books,south,,$152.31 ,
10127,"Wednesday, June 12, 2024",Home goods,west,9,$61.54 ,553.86
10128,"Wednesday, June 26, 2024",books,south,7,$40.70 ,284.9
10129,"Tuesday, April 9, 2024",books,north ,1,$150.52 ,150.52
10130,"Tuesday, April 9, 2024",clothings,south,10,$155.63 ,1556.3
10131,"Tuesday, June 11, 2024",sports,west,3,  ,
10132,"Sunday, May 5, 2024",Electronics,south,7,$165.88 ,1161.16
10133,"Monday, April 22, 2024",clothings,south,3,$175.10 ,525.3
10134,"Friday, June 7, 2024",clothings,west,2,$40.58 ,81.16
10135,"Sunday, April 21, 2024",toys,west,7,$158.00 ,1106
10136,"Wednesday, March 13, 2024",Home goods,east,10,$173.75 ,1737.5
10137,"Saturday, January 6, 2024",clothings,north ,,$153.01 ,
10138,"Wednesday, April 10, 2024",clothings,east,5,$161.72 ,808.6
10139,"Thursday, May 9, 2024",clothings,south,6,$168.77 ,1012.62
10140,"Thursday, April 18, 2024",books,west,10,$163.70 ,1637
10141,"Tuesday, March 5, 2024",clothings,east,3,$160.12 ,480.36
10142,"Saturday, March 23, 2024",Home goods,west,10,$64.07 ,640.7
10143,"Saturday, April 20, 2024",books,west,5,$167.12 ,835.6
10144,"Friday, February 16, 2024",sports,south,10,$176.71 ,1767.1
10145,"Friday, March 22, 2024",sports,east,6,$128.97 ,773.82
10146,"Monday, January 8, 2024",toys,north ,7,$40.56 ,283.92
10147,"Wednesday, January 10, 2024",sports,north ,2,$55.35 ,110.7
10148,"Tuesday, June 18, 2024",sports,east,3,$157.90 ,473.7
10149,"Sunday, May 5, 2024",sports,west,5,$164.69 ,823.45
10150,"Monday, February 5, 2024",books,north ,9,$154.87 ,1393.83
10151,"Thursday, January 25, 2024",sports,north ,4,$49.83 ,199.32
10152,"Tuesday, January 2, 2024",toys,north ,10,$86.44 ,864.4
10153,"Friday, March 1, 2024",sports,south,6,$144.39 ,866.34
10154,"Sunday, February 25, 2024",clothings,south,1,$49.50 ,49.5
10155,"Monday, January 22, 2024",clothings,south,9,$103.28 ,929.52
10156,"Monday, January 8, 2024",clothings,south,3,$33.95 ,101.85
10157,"Friday, March 29, 2024",books,north ,7,$60.56 ,423.92
10158,"Saturday, May 4, 2024",Electronics,north ,9,$142.51 ,1282.59
10159,"Wednesday, March 20, 2024",toys,south,8,$154.57 ,1236.56
10160,"Friday, April 19, 2024",toys,east,5,$126.78 ,633.9
10161,"Sunday, March 10, 2024",sports,north ,4,$161.93 ,647.72
10162,"Tuesday, May 7, 2024",sports,east,9, Thirty ,
10163,"Wednesday, March 20, 2024",Home goods,west,4,$87.30 ,349.2
10164,"Monday, April 29, 2024",sports,south,,$124.33 ,
10165,"Friday, March 22, 2024",sports,west,8,$127.07 ,1016.56
10166,"Monday, January 8, 2024",sports,south,7,$146.21 ,1023.47
10167,"Friday, May 17, 2024",clothings,north ,10,$44.39 ,443.9
10168,"Thursday, February 8, 2024",toys,north ,4,$63.81 ,255.24
10169,"Monday, January 1, 2024",sports,south,5,$18.24 ,91.2
10170,"Thursday, February 15, 2024",sports,west,7,$188.67 ,1320.69
10171,"Saturday, June 1, 2024",Electronics,east,3,$57.78 ,173.34
10172,"Sunday, February 11, 2024",sports,east,8,$64.84 ,518.72
10173,"Friday, May 24, 2024",Home goods,north ,8,$195.20 ,1561.6
10174,1/15/2024,toys,east,5,$189.89 ,949.45
10175,5/3/2024,books,south,,$36.01 ,
10176,4/18/2024,sports,north ,8,$87.63 ,701.04
10177,6/26/2024,clothings,east,5,$102.87 ,514.35
10178,5/5/2024,sports,east,9,$138.69 ,1248.21
10179,1/30/2024,Electronics,east,5,$136.89 ,684.45
10180,5/27/2024,sports,west,5,$192.17 ,960.85
10181,5/11/2024,clothings,north ,4,$151.27 ,605.08
10182,4/15/2024,toys,east,3,$126.79 ,380.37
10183,1/13/2024,sports,south,5,$60.80 ,304
10184,1/26/2024,clothings,north ,7,$116.07 ,812.49
10185,5/11/2024,Home goods,north ,2,$168.65 ,337.3
10186,1/20/2024,clothings,north ,5,$26.48 ,132.4
10187,2/9/2024,clothings,north ,3,$46.32 ,138.96
10188,1/29/2024,toys,east,2,$132.91 ,265.82
10189,3/12/2024,books,west,7,$23.60 ,165.2
10190,1/7/2024,clothings,south,9,$149.54 ,1345.86
10191,5/17/2024,toys,west,8,$131.64 ,1053.12
10192,4/11/2024,books,north ,5,$172.56 ,862.8
10193,6/19/2024,books,south,1,$73.39 ,73.39
10194,6/12/2024,Home goods,west,3,$14.97 ,44.91
10195,5/13/2024,books,south,7,$106.76 ,747.32
10196,1/12/2024,sports,east,1,$109.19 ,109.19
10197,2/2/2024,Electronics,west,9,$29.80 ,268.2
10198,2/9/2024,clothings,east,5,$91.46 ,457.3
10199,4/21/2024,sports,south,7,$161.81 ,1132.67
10200,2/13/2024,clothings,east,6,$172.40 ,1034.4
10201,6/3/2024,sports,north ,1,$124.25 ,124.25
10202,6/29/2024,Home goods,west,2,$151.55 ,303.1
10203,2/7/2024,books,south,4,$43.72 ,174.88
10204,1/28/2024,Home goods,west,7,$114.68 ,802.76
10205,1/6/2024,Electronics,north ,8,$136.20 ,1089.6
10206,1/19/2024,books,south,7,$138.32 ,968.24
10207,3/7/2024,sports,east,5,$60.76 ,303.8
10208,5/25/2024,books,west,4,$125.32 ,501.28
10209,3/31/2024,Electronics,east,10,$78.60 ,786
10210,3/2/2024,clothings,east,4,$10.34 ,41.36
10211,3/20/2024,toys,north ,6,$38.28 ,229.68
10212,2/8/2024,Home goods,west,3,  ,
10213,3/22/2024,clothings,west,6,$88.31 ,529.86
10214,3/24/2024,Electronics,north ,5,$133.01 ,665.05
10215,5/19/2024,clothings,west,7,$67.96 ,475.72
10216,2/26/2024,clothings,north ,4,$147.26 ,589.04
10217,4/29/2024,Electronics,east,1,$135.93 ,135.93
10218,4/25/2024,Home goods,north ,9,$96.65 ,869.85
10219,3/3/2024,toys,north ,2,$171.65 ,343.3
10220,4/29/2024,Home goods,north ,5,$58.94 ,294.7
10221,5/4/2024,Home goods,south,1,$25.32 ,25.32
10222,3/11/2024,toys,west,8, Thirty ,
10223,5/26/2024,clothings,north ,3,$20.20 ,60.6
10224,1/4/2024,Electronics,west,5,$115.04 ,575.2
10225,5/30/2024,clothings,south,2,  ,
10226,6/2/2024,toys,east,9,$160.24 ,1442.16
10227,4/4/2024,clothings,east,10,$117.27 ,1172.7
10228,4/9/2024,clothings,north ,1,$146.45 ,146.45
10229,4/15/2024,sports,west,7,$148.85 ,1041.95
10230,3/8/2024,books,north ,2,$154.51 ,309.02
10231,1/28/2024,sports,north ,7,$187.50 ,1312.5
10232,3/29/2024,toys,west,1,$123.21 ,123.21
10233,4/13/2024,Electronics,west,10,$104.04 ,1040.4
10234,2/8/2024,Home goods,east,10,$22.34 ,223.4
10235,1/12/2024,clothings,west,9,$75.43 ,678.87
10236,5/27/2024,Home goods,north ,2,$55.62 ,111.24
10237,3/8/2024,books,west,4,$122.14 ,488.56
10238,4/28/2024,Electronics,north ,7,$100.22 ,701.54
10239,5/14/2024,Electronics,south,8,$101.89 ,815.12
10240,3/1/2024,Home goods,north ,2,$196.15 ,392.3
10241,3/1/2024,Home goods,south,2,$116.82 ,233.64
10242,1/16/2024,sports,south,1,$59.93 ,59.93
10243,2/27/2024,books,west,3,$36.73 ,110.19
10244,5/11/2024,Home goods,east,3,$85.04 ,255.12
10245,3/25/2024,Home goods,north ,6,$37.37 ,224.22
10246,3/15/2024,books,west,6,$194.59 ,1167.54
10247,6/5/2024,books,west,7,$144.28 ,1009.96
10248,2/16/2024,books,east,6,$117.33 ,703.98
10249,1/5/2024,Electronics,east,2,$142.82 ,285.64
10250,3/7/2024,clothings,west,8,$185.88 ,1487.04
10251,6/15/2024,sports,east,7,$87.15 ,610.05
10252,5/11/2024,Electronics,west,10,$151.49 ,1514.9
10253,2/16/2024,Electronics,west,10,$17.77 ,177.7
10254,3/20/2024,books,north ,1,$135.79 ,135.79
10255,5/1/2024,books,east,6, Thirty ,
10256,4/15/2024,sports,south,4,$16.44 ,65.76
10257,5/1/2024,clothings,north ,3,$136.66 ,409.98
10258,6/20/2024,Home goods,south,6,$92.76 ,556.56
10259,2/17/2024,toys,north ,5,$75.15 ,375.75
10260,1/1/2024,toys,west,8, Thirty ,
10261,6/11/2024,toys,north ,7,$50.60 ,354.2
10262,3/12/2024,books,south,3,$75.58 ,226.74
10263,4/7/2024,clothings,east,4,$128.73 ,514.92
10264,5/9/2024,sports,west,8,$50.43 ,403.44
10265,4/30/2024,clothings,north ,3,$96.41 ,289.23
10266,6/27/2024,books,north ,1,$166.52 ,166.52
10267,5/5/2024,clothings,north ,1,$113.36 ,113.36
10268,4/14/2024,toys,east,4,$123.65 ,494.6
10269,4/13/2024,toys,east,4,$101.49 ,405.96
10270,3/8/2024,Home goods,west,9,$24.38 ,219.42
10271,3/14/2024,toys,east,7,$33.45 ,234.15
10272,2/12/2024,toys,east,3,$108.34 ,325.02
10273,6/21/2024,clothings,south,1,$162.61 ,162.61
10274,6/24/2024,Home goods,west,9,$69.58 ,626.22
10275,2/25/2024,Home goods,west,5,$194.36 ,971.8
10276,6/27/2024,sports,south,6,$171.17 ,1027.02
10277,3/8/2024,sports,north ,3,$183.62 ,550.86
10278,2/10/2024,clothings,east,10,$53.61 ,536.1
10279,2/14/2024,toys,south,1,$46.98 ,46.98
10280,1/11/2024,Home goods,east,6,$35.64 ,213.84
10281,6/21/2024,Home goods,south,1,$131.59 ,131.59
10282,1/19/2024,Electronics,north ,10,$57.94 ,579.4
10283,2/19/2024,clothings,north ,6,$28.84 ,173.04
10284,2/16/2024,Home goods,north ,,$113.81 ,
10285,5/20/2024,clothings,east,3,$16.96 ,50.88
10286,1/1/2024,Home goods,south,3,$126.33 ,378.99
10287,6/26/2024,sports,west,6,$132.37 ,794.22
10288,1/1/2024,clothings,east,1,$118.36 ,118.36
10289,1/31/2024,Home goods,west,3,$163.82 ,491.46
10290,2/18/2024,Home goods,north ,6,$131.76 ,790.56
10291,6/25/2024,books,east,10,$156.25 ,1562.5
10292,6/9/2024,clothings,east,2,$191.52 ,383.04
10293,4/7/2024,books,north ,4,$36.86 ,147.44
10294,3/13/2024,toys,north ,2,$104.35 ,208.7
10295,1/26/2024,books,west,8, Thirty ,
10296,5/7/2024,Home goods,north ,8,$39.73 ,317.84
10297,6/22/2024,books,east,2,$172.91 ,345.82
10298,3/19/2024,sports,east,9,$109.49 ,985.41
10299,1/30/2024,sports,south,1,$116.93 ,116.93
10300,5/28/2024,clothings,south,7,$16.92 ,118.44
10301,6/24/2024,Home goods,north ,1,$87.77 ,87.77
10302,4/19/2024,clothings,south,4,$27.62 ,110.48
10303,1/13/2024,sports,east,5,$164.50 ,822.5
10304,3/17/2024,toys,north ,10,$111.68 ,1116.8
10305,2/6/2024,sports,north ,,$27.95 ,
10306,5/24/2024,sports,west,9,$198.30 ,1784.7
10307,5/6/2024,books,south,7,$123.77 ,866.39
10308,5/12/2024,clothings,south,1,$99.28 ,99.28
10309,1/2/2024,Electronics,east,2,$50.52 ,101.04
10310,5/15/2024,clothings,south,5,$164.49 ,822.45
10311,3/23/2024,sports,north ,6,$47.85 ,287.1
10312,1/22/2024,clothings,west,2,$109.94 ,219.88
10313,3/30/2024,Home goods,south,6,$120.76 ,724.56
10314,5/5/2024,Home goods,west,5,$114.19 ,570.95
10315,2/27/2024,Electronics,east,3,$64.85 ,194.55
10316,5/29/2024,books,south,2,$172.75 ,345.5
10317,3/25/2024,Electronics,west,7,$127.47 ,892.29
10318,4/20/2024,sports,east,10,$168.93 ,1689.3
10319,4/26/2024,books,south,5,$137.41 ,687.05
10320,5/21/2024,sports,east,2,$120.40 ,240.8
10321,2/3/2024,Home goods,north ,4,$89.04 ,356.16
10322,2/22/2024,toys,east,10,$41.91 ,419.1
10323,5/16/2024,Electronics,east,7,$140.62 ,984.34
10324,5/7/2024,Home goods,east,9,$101.78 ,916.02
10325,5/3/2024,Home goods,south,1,$114.59 ,114.59
10326,4/28/2024,books,south,9,$157.05 ,1413.45
10327,4/20/2024,Electronics,south,8,$137.75 ,1102
10328,2/27/2024,sports,west,,$69.81 ,
10329,4/6/2024,Electronics,east,2,$141.70 ,283.4
10330,6/25/2024,books,west,6,$152.34 ,914.04
10331,5/25/2024,sports,east,4,$44.92 ,179.68
10332,2/27/2024,Home goods,south,,$20.09 ,
10333,6/28/2024,toys,east,5,$35.60 ,178
10334,1/8/2024,clothings,south,8,$74.63 ,597.04
10335,1/16/2024,Home goods,east,,$177.04 ,
10336,5/3/2024,Electronics,north ,8,$142.62 ,1140.96
10337,6/12/2024,Electronics,east,6,$44.64 ,267.84
10338,4/18/2024,clothings,west,8,$177.17 ,1417.36
10339,4/6/2024,books,west,9,$15.51 ,139.59
10340,4/1/2024,Home goods,west,1,$72.17 ,72.17
10341,3/25/2024,Home goods,west,8,$11.57 ,92.56
10342,5/22/2024,clothings,south,5,$26.06 ,130.3
10343,2/6/2024,Home goods,east,6,$129.92 ,779.52
10344,5/13/2024,books,north ,7,$142.53 ,997.71
10345,1/18/2024,toys,east,8,  ,
10346,1/19/2024,toys,north ,8,$147.69 ,1181.52
10347,3/6/2024,clothings,south,9,$55.51 ,499.59
10348,4/15/2024,sports,north ,,$109.03 ,
10349,2/7/2024,Home goods,north ,8,$172.82 ,1382.56
10350,2/19/2024,Electronics,west,1,$181.90 ,181.9
10351,6/18/2024,sports,east,10,$64.02 ,640.2
10352,1/10/2024,Home goods,west,4,$51.77 ,207.08
10353,5/28/2024,clothings,east,2,$192.22 ,384.44
10354,5/27/2024,clothings,south,5,$98.96 ,494.8
10355,4/22/2024,toys,east,9,$120.08 ,1080.72
10356,2/17/2024,toys,south,6,$158.58 ,951.48
10357,2/22/2024,Electronics,south,7,$10.52 ,73.64
10358,2/4/2024,Home goods,west,10,$85.80 ,858
10359,1/1/2024,toys,west,5,$148.70 ,743.5
10360,3/7/2024,Electronics,north ,7,$58.40 ,408.8
10361,1/30/2024,clothings,west,6,$20.58 ,123.48
10362,2/22/2024,toys,north ,9,$174.68 ,1572.12
10363,3/21/2024,clothings,north ,8,$176.30 ,1410.4
10364,3/15/2024,Electronics,west,2,$91.13 ,182.26
10365,2/6/2024,Home goods,east,6,$40.32 ,241.92
10366,5/17/2024,Home goods,north ,6,$113.29 ,679.74
10367,1/16/2024,books,east,3,$138.59 ,415.77
10368,6/18/2024,books,south,10,$124.80 ,1248
10369,1/25/2024,Electronics,west,9,$76.98 ,692.82
10370,3/18/2024,books,south,,$15.01 ,
10371,2/1/2024,books,south,1,$181.17 ,181.17
10372,6/30/2024,sports,east,7,$91.91 ,643.37
10373,3/1/2024,toys,south,1,$134.45 ,134.45
10374,5/27/2024,Electronics,east,10,$166.62 ,1666.2
10375,4/28/2024,Electronics,west,2,$187.00 ,374
10376,2/9/2024,toys,south,8,$132.65 ,1061.2
10377,2/13/2024,books,east,9,$16.07 ,144.63
10378,2/2/2024,books,south,,$196.46 ,
10379,3/8/2024,Home goods,north ,, Thirty ,
10380,3/11/2024,toys,east,5,$70.68 ,353.4
10381,2/4/2024,Home goods,north ,2,$53.54 ,107.08
10382,6/10/2024,toys,west,9,$114.37 ,1029.33
10383,5/13/2024,Home goods,east,4,$79.44 ,317.76
10384,1/12/2024,books,south,1,$29.67 ,29.67
10385,5/30/2024,clothings,west,2,$18.95 ,37.9
10386,4/10/2024,Home goods,north ,4,$90.80 ,363.2
10387,4/13/2024,clothings,north ,5,$43.28 ,216.4
10388,5/24/2024,sports,east,1,$10.37 ,10.37
10389,5/6/2024,Electronics,south,,$82.69 ,
10390,6/13/2024,toys,west,6,$30.87 ,185.22
10391,1/26/2024,sports,south,4,$64.84 ,259.36
10392,3/20/2024,Home goods,east,1,$142.65 ,142.65
10393,5/24/2024,Home goods,west,1,$188.12 ,188.12
10394,3/22/2024,sports,east,8,$19.13 ,153.04
10395,6/26/2024,sports,north ,5,$135.10 ,675.5
10396,5/16/2024,Electronics,north ,9, Thirty ,
10397,4/28/2024,sports,east,2,$166.17 ,332.34
10398,1/17/2024,clothings,east,2,$111.57 ,223.14
10399,2/5/2024,Electronics,north ,1,$50.93 ,50.93
10400,3/4/2024,sports,east,10,$137.00 ,1370
10401,6/17/2024,books,east,2,$166.04 ,332.08
10402,5/15/2024,sports,south,9,$25.77 ,231.93
10403,5/27/2024,Electronics,north ,7,$128.68 ,900.76
10404,2/13/2024,toys,north ,7,$78.15 ,547.05
10405,5/16/2024,sports,north ,7,$129.14 ,903.98
10406,1/29/2024,Electronics,north ,5,$119.42 ,597.1
10407,1/31/2024,books,north ,5,$116.88 ,584.4
10408,4/30/2024,sports,east,5,$98.83 ,494.15
10409,3/9/2024,clothings,east,6,$70.22 ,421.32
10410,1/26/2024,Home goods,west,6,$168.78 ,1012.68
10411,2/6/2024,Electronics,west,3,$119.37 ,358.11
10412,1/12/2024,Home goods,west,3,  ,
10413,2/7/2024,toys,east,1,$103.33 ,103.33
10414,3/27/2024,Electronics,south,8,  ,
10415,6/24/2024,toys,east,1,$143.06 ,143.06
10416,1/11/2024,clothings,north ,4,$196.85 ,787.4
10417,3/1/2024,Home goods,north ,2,$94.84 ,189.68
10418,2/10/2024,toys,north ,3,$57.71 ,173.13
10419,2/17/2024,books,east,1,$119.91 ,119.91
10420,1/13/2024,clothings,north ,4,$104.60 ,418.4
10421,6/19/2024,sports,south,2,$163.96 ,327.92
10422,4/2/2024,Electronics,west,1,$173.97 ,173.97
10423,4/21/2024,sports,east,4,$177.04 ,708.16
10424,1/5/2024,sports,south,6,$44.15 ,264.9
10425,4/18/2024,clothings,north ,2,$196.71 ,393.42
10426,1/20/2024,Electronics,north ,2,$146.48 ,292.96
10427,1/15/2024,Electronics,north ,3,$154.49 ,463.47
10428,2/1/2024,clothings,west,7,$177.15 ,1240.05
10429,1/16/2024,toys,north ,1,$68.12 ,68.12
10430,2/1/2024,toys,south,2,$72.90 ,145.8
10431,4/27/2024,clothings,south,8,$78.12 ,624.96
10432,1/12/2024,toys,west,10,$67.49 ,674.9
10433,6/18/2024,Electronics,west,9,$165.40 ,1488.6
10434,2/21/2024,sports,west,8,$144.77 ,1158.16
10435,6/22/2024,toys,north ,3,$54.36 ,163.08
10436,3/28/2024,books,south,2,$13.95 ,27.9
10437,2/10/2024,Home goods,west,1,$182.83 ,182.83
10438,1/29/2024,clothings,west,1,$116.40 ,116.4
10439,1/5/2024,sports,south,6,$91.50 ,549
10440,1/6/2024,Electronics,south,4,$74.84 ,299.36
10441,5/4/2024,sports,east,2,$162.81 ,325.62
10442,3/31/2024,sports,west,9,$162.64 ,1463.76
10443,3/21/2024,books,west,9,$134.62 ,1211.58
10444,5/28/2024,clothings,south,3,$91.12 ,273.36
10445,6/11/2024,books,west,3,$19.07 ,57.21
10446,5/31/2024,toys,north ,3,$33.78 ,101.34
10447,3/14/2024,Home goods,south,10,$132.79 ,1327.9
10448,3/1/2024,sports,north ,8,$153.35 ,1226.8
10449,5/25/2024,Home goods,east,8,$195.42 ,1563.36
10450,5/1/2024,sports,west,1,$185.87 ,185.87
10451,1/10/2024,toys,east,6,$92.71 ,556.26
10452,5/23/2024,books,west,7,$172.07 ,1204.49
10453,2/5/2024,Electronics,west,5,$155.85 ,779.25
10454,6/26/2024,sports,south,6,$21.93 ,131.58
10455,3/23/2024,Electronics,south,6,$58.11 ,348.66
10456,2/3/2024,toys,north ,3,$61.42 ,184.26
10457,1/11/2024,toys,north ,10,$20.75 ,207.5
10458,6/14/2024,sports,south,6,$181.34 ,1088.04
10459,1/6/2024,sports,west,3,$41.57 ,124.71
10460,6/12/2024,Home goods,east,2,$24.54 ,49.08
10461,2/6/2024,toys,east,6,$196.91 ,1181.46
